# Datum Transformation Parameter Lists for GRASS
# (allows multiple different sets of datum transformation parameters to be
#  supplied for any datum)
#
# Line Format:
# shortname "parameters" "Where Used" "Comment"
#
# where
lis37   "towgs84=-282.1,-72.2,120.0,-1.592,0.145,-0.890,-4.46" "Portugal" "Accuracy about 3m"
ngo48   "towgs84=278.3,93.0,474.5,7.889,0.050,-6.610,6.21" "Norway" "Accuracy about 3m"
rt90    "towgs84=414.1,41.3,603.1,-0.855,2.141,-7.023,0" "Sweden" " "
# From GRASS datum.table file
sam69   "towgs84=-60.0,-2.0,-41.0" "Brazil" " "
sam69   "towgs84=-77.0,3.0,-45.0" "South America?" "Old GRASS sam69 parameters"
nad27   "towgs84=-9.0,151.0,185.0" "Alaska & Canada" "Old GRASS a-can parameters"
# http://www.linz.govt.nz/geodetic/conversion-coordinates/geodetic-datum-conversion/nzgd1949-nzgd2000/distortion-grid/
nzgd49  "nadgrids=nzgd2kgrid0005.gsb"  "New Zealand"   "LINZ NZGD49 NTv2 Distortion Model, accuracy 10-30cm" 
# http://www.linz.govt.nz/geodetic/conversion-coordinates/geodetic-datum-conversion/nzgd1949-nzgd2000/three-and-seven-parameter/
#  note: values in above URL use the Helmert convention for the sign of rotation terms, while PROJ.4 uses the Bursa-Wolf convention.
nzgd49  "towgs84=59.47,-5.04,187.44,0.47,-0.1,1.024,-4.5993" "New Zealand" "Accuracy approx. 4m"
tokyo   "towgs84=-147.54,507.26,680.47" "Japan" " "
tokyo   "towgs84=-147,506,687" "South Korea" " "
# Campo Inchauspe, personal communication CONAE (http://www.conae.gov.ar), Argentina:
cai     "towgs84=-149.1,138.1,90.9,-0.142,0.344,0.301,0.388" "Argentina" "provided by CONAE, Argentina"
# http://lists.maptools.org/pipermail/proj/2012-September/006413.html
itrf92	"towgs84=0,0,0,0,0,0,0" "Mexico" "Considered identical to WGS84"
# http://epsg.io/5514 System_Jednotne_Trigonometricke_Site_Katastralni
S_JTSK	"towgs84=570.8,85.7,462.8,4.998,1.587,5.261,3.56" "Czech Republic" "Accuracy about 1m"
S_JTSK	"towgs84=572.213,85.334,461.94,-4.9732,-1.529,-5.2484,3.5378" "Czech Republic" "Accuracy about 1m"
S_JTSK	"towgs84=485,169.5,483.8,7.786,4.398,4.103,0" "Slovakia" "Accuracy about 1m"
