nm,pan,blue,green,red,nir
0.795,0.8492843,0.0031390,0.0041374,0.0062010,0.9008774
0.800,0.8457008,0.0029854,0.0038086,0.0044550,0.8697601
0.805,0.8553407,0.0032930,0.0034867,0.0030630,0.8515358
0.810,0.8581889,0.0033344,0.0032214,0.0027053,0.8382033
0.815,0.8582515,0.0035658,0.0030436,0.0024349,0.8322304
0.820,0.8671206,0.0037282,0.0030211,0.0024710,0.8256435
0.825,0.8339193,0.0039858,0.0031200,0.0024841,0.8203544
0.830,0.8440240,0.0041173,0.0032130,0.0023666,0.8069696
0.835,0.8499554,0.0042771,0.0033022,0.0026162,0.7843730
0.840,0.8553289,0.0041750,0.0036992,0.0024444,0.7494696
0.845,0.8341391,0.0049540,0.0044282,0.0026118,0.7040130
0.850,0.8393621,0.0047827,0.0050802,0.0025035,0.6782487
0.855,0.8075909,0.0058532,0.0068986,0.0025965,0.6493954
0.860,0.8105692,0.0057233,0.0077976,0.0025047,0.6131506
0.865,0.7594286,0.0056168,0.0090757,0.0023465,0.5668747
0.870,0.7638184,0.0053032,0.0092009,0.0023744,0.5316688
0.875,0.7341904,0.0052007,0.0090439,0.0022134,0.4916918
0.880,0.7065537,0.0051649,0.0086195,0.0021206,0.4371382
0.885,0.6941130,0.0051542,0.0079798,0.0019849,0.3515431
0.890,0.6634336,0.0052812,0.0076004,0.0018715,0.2753125
0.895,0.6544530,0.0056987,0.0074959,0.0020090,0.2215915
0.900,0.6185557,0.0068015,0.0076005,0.0021329,0.1604435
0.905,0.6002698,0.0082558,0.0078219,0.0024529,0.1165635
0.910,0.5918959,0.0097551,0.0081012,0.0027978,0.0839996
0.915,0.5744231,0.0105366,0.0081533,0.0027873,0.0671801
0.920,0.5309092,0.0109482,0.0077694,0.0025152,0.0408550
0.925,0.4968949,0.0093236,0.0067075,0.0015319,0.0204820
0.930,0.4797736,0.0076207,0.0055921,0.0011564,0.0135345
0.935,0.4463188,0.0061257,0.0046417,0.0010802,0.0100320
0.940,0.4147031,0.0050368,0.0038590,0.0009794,0.0077714
0.945,0.4047691,0.0042263,0.0030915,0.0009748,0.0063828
0.950,0.3738311,0.0035359,0.0026681,0.0010349,0.0053660
0.955,0.3448050,0.0029168,0.0020248,0.0008131,0.0045550
0.960,0.3117545,0.0021153,0.0016715,0.0008282,0.0034837
0.965,0.2951745,0.0017263,0.0014821,0.0007164,0.0028074
0.970,0.2728967,0.0015684,0.0012420,0.0006983,0.0024346
0.975,0.2567351,0.0013848,0.0012525,0.0007062,0.0022279
0.980,0.2427786,0.0012033,0.0010517,0.0006728,0.0020881
0.985,0.2216402,0.0012069,0.0009425,0.0005846,0.0018583
0.990,0.2107166,0.0012223,0.0009661,0.0006290,0.0018199
0.995,0.1971150,0.0011194,0.0008666,0.0006789,0.0019029
1.000,0.1775850,0.0011202,0.0007896,0.0007596,0.0016151
1.005,0.1629801,0.0010435,0.0008717,0.0006784,0.0017322
1.010,0.1484601,0.0010853,0.0008884,0.0006441,0.0017250
1.015,0.1357785,0.0012269,0.0009619,0.0008511,0.0020431
1.020,0.1239647,0.0012386,0.0011177,0.0009305,0.0021422
1.025,0.1085287,0.0014607,0.0012735,0.0007567,0.0020229
1.030,0.0954432,0.0018346,0.0010511,0.0008329,0.0019033
1.035,0.0831004,0.0014991,0.0010623,0.0009111,0.0017056
1.040,0.0715127,0.0015231,0.0008597,0.0008798,0.0018068
1.045,0.0634132,0.0014061,0.0009766,0.0006438,0.0016984
1.050,0.0548069,0.0012190,0.0008612,0.0008323,0.0020005
1.055,0.0475781,,,,
1.060,0.0100588,,,,
1.065,,,,,
1.070,,,,,
1.075,,,,,
1.080,,,,,
1.085,,,,,
1.090,,,,,
1.095,,,,,
1.100,,,,,
