nm_Band,Panchromatic,Coastal Blue,Blue,Green,Yellow,Red,Red Edge,NIR1,NIR2
388,3.7262944E-06,0.00020807644,5.7107622E-07,4.436984E-07,3.4301226E-07,2.9607177E-07,3.6546269E-07,4.523804E-08,2.2597467E-07
389,3.8687036E-06,0.00041800307,6.4667852E-07,4.3203658E-07,4.6961049E-07,3.2633153E-07,5.5989629E-07,7.4660844E-08,2.3172157E-07
390,4.0140146E-06,0.00063465103,7.2447232E-07,4.1912648E-07,6.0076475E-07,3.5743721E-07,7.6047637E-07,1.0477756E-07,2.3651776E-07
391,4.4102886E-06,0.0012577345,6.283641E-07,4.1032816E-07,5.6141351E-06,2.5633355E-07,1.5569081E-06,5.3176684E-08,2.3638639E-07
392,4.8154736E-06,0.0018963521,5.2874263E-07,4.0119552E-07,1.0751859E-05,1.5314849E-07,2.3676005E-06,3.4087E-11,2.361882E-07
393,5.2064658E-06,0.0049336151,5.0983931E-07,3.6418987E-07,3.1420874E-05,1.9332622E-07,2.1410545E-06,2.443595E-09,2.5915056E-07
394,5.5967765E-06,0.0080125881,4.9154549E-07,3.2733562E-07,5.2311232E-05,2.3461716E-07,1.9169024E-06,4.889554E-09,2.8241205E-07
395,6.0275364E-06,0.027428402,5.8307094E-07,3.6965797E-07,2.7310406E-05,2.5116488E-07,1.2974895E-06,8.251118E-09,2.2534558E-07
396,5.6516655E-06,0.047372325,6.7787432E-07,4.130323E-07,1.5258187E-06,2.6750316E-07,6.6637864E-07,1.1709429E-08,1.6662898E-07
397,5.2422809E-06,0.10399993,7.1805122E-07,4.726119E-07,8.1324761E-07,3.4205669E-07,1.0809996E-06,3.7449412E-08,1.8957484E-07
398,4.8292926E-06,0.16180598,7.5894778E-07,5.3264105E-07,8.809386E-08,4.1812463E-07,1.5101601E-06,6.3792528E-08,2.1297158E-07
399,4.394308E-06,0.25805136,1.7700392E-06,4.8841612E-07,4.9879824E-08,3.5719391E-07,1.7645596E-06,1.2063913E-07,2.1373907E-07
400,3.9509726E-06,0.35598837,2.8048443E-06,4.4259922E-07,1.0640207E-08,2.9512621E-07,2.0172172E-06,1.7922454E-07,2.1449321E-07
401,3.8169887E-06,0.45902775,2.652837E-06,4.6553226E-07,4.4854861E-08,2.9841602E-07,1.4409779E-06,9.0053008E-08,1.786629E-07
