"Wavelength (nm)","Blue","Green","Red","RedEdge ","NIR "
420,,,,,
421,,,,,
422,,,,,
423,,,,,
424,,,,,
425,,,,,
426,,,,,
427,,,,,
428,,,,,
429,,,,,
430,,,,,
431,,,,,
432,0,,,,
433,0,,,,
434,0,,,,
435,0,,,,
436,0,,,,
437,0,,,,
438,0.02,,,,
439,0.07,,,,
440,0.32,,,,
441,0.69,,,,
442,0.72,,,,
443,0.73,,,,
444,0.74,,,,
445,0.74,,,,
446,0.75,,,,
447,0.76,,,,
448,0.76,,,,
449,0.77,,,,
450,0.77,,,,
451,0.78,,,,
452,0.78,,,,
453,0.78,,,,
454,0.78,,,,
455,0.78,,,,
456,0.79,,,,
457,0.79,,,,
458,0.8,,,,
459,0.8,,,,
460,0.8,,,,
461,0.8,,,,
462,0.8,,,,
463,0.8,,,,
464,0.81,,,,
465,0.81,,,,
466,0.81,,,,
467,0.8,,,,
468,0.8,,,,
469,0.81,,,,
470,0.81,,,,
471,0.81,,,,
472,0.82,,,,
473,0.82,,,,
474,0.82,,,,
475,0.82,,,,
476,0.82,,,,
477,0.83,,,,
478,0.83,,,,
479,0.84,,,,
480,0.84,,,,
481,0.84,,,,
482,0.85,,,,
483,0.85,,,,
484,0.86,,,,
485,0.86,,,,
486,0.87,,,,
487,0.88,,,,
488,0.88,,,,
489,0.88,,,,
490,0.89,,,,
491,0.89,,,,
492,0.91,,,,
493,0.92,,,,
494,0.92,,,,
495,0.93,,,,
496,0.93,,,,
497,0.94,,,,
498,0.95,,,,
499,0.96,,,,
500,0.97,,,,
501,0.97,,,,
502,0.97,,,,
503,0.97,,,,
504,0.98,,,,
505,1,,,,
506,1,,,,
507,0.98,,,,
508,1,0,,,
509,0.96,0,,,
510,0.44,0,,,
511,0.11,0,,,
512,0.03,0,,,
513,0.01,0,,,
514,0,0.01,,,
515,0,0.01,,,
516,0,0.03,,,
517,0,0.05,,,
518,0,0.12,,,
519,0,0.27,,,
520,,0.54,,,
521,,0.78,,,
522,,0.87,,,
523,,0.87,,,
524,,0.86,,,
525,,0.87,,,
526,,0.87,,,
527,,0.88,,,
528,,0.88,,,
529,,0.87,,,
530,,0.87,,,
531,,0.87,,,
532,,0.87,,,
533,,0.88,,,
534,,0.88,,,
535,,0.88,,,
536,,0.88,,,
537,,0.88,,,
538,,0.88,,,
539,,0.88,,,
540,,0.88,,,
541,,0.88,,,
542,,0.89,,,
543,,0.89,,,
544,,0.89,,,
545,,0.9,,,
546,,0.9,,,
547,,0.9,,,
548,,0.9,,,
549,,0.9,,,
550,,0.9,,,
551,,0.91,,,
552,,0.91,,,
553,,0.92,,,
554,,0.92,,,
555,,0.92,,,
556,,0.93,,,
557,,0.93,,,
558,,0.93,,,
559,,0.93,,,
560,,0.94,,,
561,,0.94,,,
562,,0.95,,,
563,,0.95,,,
564,,0.95,,,
565,,0.95,,,
566,,0.96,,,
567,,0.96,,,
568,,0.97,,,
569,,0.97,,,
570,,0.97,,,
571,,0.98,,,
572,,0.98,,,
573,,0.98,,,
574,,0.97,,,
575,,0.98,,,
576,,0.98,,,
577,,0.99,,,
578,,0.99,,,
579,,0.99,,,
580,,0.99,,,
581,,0.98,,,
582,,0.98,,,
583,,0.99,,,
584,,1,,,
585,,0.99,,,
586,,0.98,,,
587,,0.97,,,
588,,1,,,
589,,0.89,,,
590,,0.42,,,
591,,0.13,,,
592,,0.04,,,
593,,0.01,,,
594,,0.01,,,
595,,0,,,
596,,0,,,
597,,0,,,
598,,0,,,
599,,0,,,
600,,0,,,
601,,,,,
602,,,,,
603,,,,,
604,,,,,
605,,,,,
606,,,,,
607,,,,,
608,,,,,
609,,,,,
610,,,,,
611,,,,,
612,,,,,
613,,,,,
614,,,,,
615,,,,,
616,,,,,
617,,,,,
618,,,0,,
619,,,0,,
620,,,0,,
621,,,0,,
622,,,0,,
623,,,0,,
624,,,0.01,,
625,,,0.01,,
626,,,0.02,,
627,,,0.04,,
628,,,0.09,,
629,,,0.2,,
630,,,0.44,,
631,,,0.72,,
632,,,0.86,,
633,,,0.86,,
634,,,0.85,,
635,,,0.85,,
636,,,0.87,,
637,,,0.88,,
638,,,0.88,,
639,,,0.88,,
640,,,0.88,,
641,,,0.88,,
642,,,0.89,,
643,,,0.89,,
644,,,0.9,,
645,,,0.9,,
646,,,0.91,,
647,,,0.91,,
648,,,0.91,,
649,,,0.91,,
650,,,0.92,,
651,,,0.92,,
652,,,0.92,,
653,,,0.93,,
654,,,0.93,,
655,,,0.94,,
656,,,0.94,,
657,,,0.95,,
658,,,0.95,,
659,,,0.95,,
660,,,0.96,,
661,,,0.96,,
662,,,0.96,,
663,,,0.97,,
664,,,0.97,,
665,,,0.97,,
666,,,0.97,,
667,,,0.98,,
668,,,0.98,,
669,,,0.99,,
670,,,0.99,,
671,,,0.99,,
672,,,0.99,,
673,,,0.99,,
674,,,0.99,,
675,,,0.99,,
676,,,0.99,,
677,,,0.99,0,
678,,,1,0,
679,,,1,0,
680,,,0.99,0,
681,,,0.98,0,
682,,,0.99,0,
683,,,1,0.01,
684,,,0.86,0.01,
685,,,0.46,0.02,
686,,,0.17,0.04,
687,,,0.06,0.07,
688,,,0.02,0.14,
689,,,0.01,0.28,
690,,,0.01,0.49,
691,,,0,0.74,
692,,,0,0.91,
693,,,0,0.98,
694,,,0,1,
695,,,0,1,
696,,,0,1,
697,,,,1,
698,,,,1,
699,,,,1,
700,,,,1,
701,,,,1,
702,,,,0.99,
703,,,,0.99,
704,,,,0.99,
705,,,,0.99,
706,,,,0.99,
707,,,,0.99,
708,,,,0.99,
709,,,,0.98,
710,,,,0.98,
711,,,,0.98,
712,,,,0.98,
713,,,,0.97,
714,,,,0.97,
715,,,,0.97,
716,,,,0.97,
717,,,,0.96,
718,,,,0.96,
719,,,,0.96,
720,,,,0.96,
721,,,,0.96,
722,,,,0.95,
723,,,,0.94,
724,,,,0.94,
725,,,,0.94,
726,,,,0.95,
727,,,,0.94,
728,,,,0.86,
729,,,,0.67,
730,,,,0.43,
731,,,,0.23,
732,,,,0.12,
733,,,,0.07,
734,,,,0.04,
735,,,,0.02,
736,,,,0.01,
737,,,,0.01,
738,,,,0,
739,,,,0,
740,,,,0,
741,,,,0,0
742,,,,0,0
743,,,,0,0
744,,,,,0
745,,,,,0
746,,,,,0
747,,,,,0.01
748,,,,,0.01
749,,,,,0.01
750,,,,,0.01
751,,,,,0.02
752,,,,,0.02
753,,,,,0.03
754,,,,,0.05
755,,,,,0.07
756,,,,,0.1
757,,,,,0.15
758,,,,,0.23
759,,,,,0.35
760,,,,,0.5
761,,,,,0.67
762,,,,,0.83
763,,,,,0.94
764,,,,,0.99
765,,,,,1
766,,,,,0.99
767,,,,,0.98
768,,,,,0.97
769,,,,,0.97
770,,,,,0.97
771,,,,,0.97
772,,,,,0.97
773,,,,,0.98
774,,,,,0.98
775,,,,,0.98
776,,,,,0.98
777,,,,,0.98
778,,,,,0.98
779,,,,,0.97
780,,,,,0.97
781,,,,,0.97
782,,,,,0.96
783,,,,,0.96
784,,,,,0.96
785,,,,,0.96
786,,,,,0.96
787,,,,,0.96
788,,,,,0.96
789,,,,,0.96
790,,,,,0.96
791,,,,,0.96
792,,,,,0.96
793,,,,,0.96
794,,,,,0.96
795,,,,,0.96
796,,,,,0.96
797,,,,,0.95
798,,,,,0.95
799,,,,,0.95
800,,,,,0.95
801,,,,,0.95
802,,,,,0.94
803,,,,,0.94
804,,,,,0.94
805,,,,,0.94
806,,,,,0.94
807,,,,,0.93
808,,,,,0.93
809,,,,,0.93
810,,,,,0.93
811,,,,,0.93
812,,,,,0.93
813,,,,,0.93
